year,category,subcategory,name,description,people,places,editor,links,concepts
1955,publication,proposal,A Proposal for the Dartmouth Summer Research Project on Artificial Intelligence,First time AI is mentioned.,"McCarthy,Minsky,Rochester,Shannon",Dartmouth College,,http://jmc.stanford.edu/articles/dartmouth/dartmouth.pdf,AI
1956,event,workshop,The Darthmouth Summer Research Project on Artificial Intelligence,Seminal event for AI as a field.,"Minsky,Bigelow,Mackay,Solomonoff,Holland,McCarthy,Shannon,Rochester,Selfridge,Newell,Simon",Dartmouth College,,https://home.dartmouth.edu/about/artificial-intelligence-ai-coined-dartmouth,AI
1943,publication,journal,A Logical Calculus of the Ideas Immanent in Nervous Activity,"A first mathematical model of the nervous system as a network of simple logical elements, later know as Artificial Neural Networks (ANNs). This work is seminal in the fields of cognitive science, computational neuroscience, computer science, and artificial intelligence. ","McCulloch,Pitts","University of Illinois, College of Medecine",Bulletin of Mathematical Biology,https://www.cs.cmu.edu/~./epxing/Class/10715/reading/McCulloch.and.Pitts.pdf,"ANN,connectionism"
1948,publication,journal,A Mathematical Theory of Communication,Seminal paper that gives rise to the field of information theory.,Shannon,USA,The Bell System Technical Journal,https://people.math.harvard.edu/~ctm/home/text/others/shannon/entropy/entropy.pdf,information theory
1950,publication,journal,Computing Machinery and Intelligence,"Introduction of the imitation game, now known as the Turing Test—a test of a machine's ability to exhibit intelligent behaviour.",Turing,UK,Oxford University Press,https://academic.oup.com/mind/article-abstract/LIX/236/433/986238?redirectedFrom=fulltext,Turing test
1956,publication,technical report,Logic Theorist,"Development of the first computer program deliberately engineered to perform automated reasoning, and introduction of the symbolic reasoning paradigm.","Newell,Simon,Shaw",The RAND Corporation,,http://shelf1.library.cmu.edu/IMLS/BACKUP/MindModels.pre_Oct1/logictheorymachine.pdf,symbolic AI
1957,publication,technical report,The Perceptron: A Perceiving and Recognizing Automaton,"First description and implementation of a perceptron, a simple neural net.",Rosenblatt,Cornell Aeronautical Laboratory,,https://bpb-us-e2.wpmucdn.com/websites.umass.edu/dist/a/27637/files/2016/03/rosenblatt-1957.pdf,perceptron
1958,publication,journal,The Perceptron: A Probabilistic Model for Information Storage and Organization in the Brain,Theoretical paper on the perceptron.,Rosenblatt,Cornell Aeronautical Laboratory,Psychological Review,https://www.ling.upenn.edu/courses/cogs501/Rosenblatt1958.pdf,perceptron
1965,citation,,,"Machines will be capable, within twenty years, of doing any work a man can do.",Simon,Carnegie Mellon University,Harper & Row,https://archive.org/details/shapeofautomatio00simo/page/n147/mode/2up,
1966,publication,report,Language and Machines: Computers in Translation and Linguistics,A thourough and harsh review of machine translation that contributes to an end of funding in the USA for almost 20 years.,"Pierce,Caroll,Hamp,Hays,Hockett,Oettinger,Perlis",USA,"National Academy of Sciences, National Research Council","https://nap.nationalacademies.org/resource/alpac_lm/ARC000005.pdf,https://aclanthology.org/www.mt-archive.info/90/MTNI-1996-Hutchins.pdf",
1969,publication,book,Perceptrons: An Introduction to Computational Geometry,"A criticism of Rosenblatt's perceptron that marks a halt in research in the field of neural computation and connectionist learning. The authors claim that neural networks will need multiple layers containing multiple neurons to be functional—something that does not exist at the time, and will not exist until 1989. This discourages reaserch on the connectionist approach for several years.","Minsky,Papert",MIT,,https://direct.mit.edu/books/monograph/3132/PerceptronsAn-Introduction-to-Computational,
1970,citation,,,"In from three to eight years we will have a machine with the general intelligence of an average human being. I mean a machine that will be able to read Shakespeare, grease a car, play office politics, tell a joke, have a fight. At that point the machine will begin to educate itself with fantastic speed. In a few months it will be at genius level and a few months after that its powers will be incalculable.",Minsky,MIT,Life magazine,https://gwern.net/doc/reinforcement-learning/robot/1970-darrach.pdf,
1973,publication,report,Artificial Intelligence: A General Survey,A harsh review of the state of AI research in the UK.,Lighthill,UK,UK Science Research Council,https://www.aiai.ed.ac.uk/events/lighthill1973/lighthill.pdf,
1973,citation,,,In no part of the field have the discoveries made so far produced the major impact that was promised.,Lighthill,UK Science Research Council,,https://www.aiai.ed.ac.uk/events/lighthill1973/lighthill.pdf,
1980,event,product release,R1/ XCON,A production-rule-based system to assist in ordering computer systems by automatically selecting the computer system components based on customers' requirements.,,"DEC, Carnegie Mellon University",,https://web.archive.org/web/20171116060857/http://aaai.org/Papers/AAAI/1980/AAAI80-076.pdf,expert systems
1980,event,conference,AAAI'80,First AAAI conference on Artificial Intelligence,"Tenenbaum,Balzer,Earnest,Hayes-Roth,Robinson",Stanford,AAAI,https://aaai.org/conference/aaai/aaai80/,
1981,funding,project,Fifth Generation Computer Systems,Japan's Ministry of International Trade and Industry launches the Fifth Generation Computer Systems (FGCS) 10-year project. Its ambitious goals ultimately led to commercial failure.,,Japan,Ministry of International Trade and Industry,https://ojs.aaai.org/aimagazine/index.php/aimagazine/article/view/380/316,
1981,event,product release,LM-2,"Symbolics releases the LM-2 machine, a commercialization of the MIT Lisp Machine.",,USA,Symbolics,http://www.bitsavers.org/pdf/symbolics/brochures/LM-2.pdf,
1982,publication,journal,Neural Networks and Physical Systems with Emergent Collective Computational Abilities,"Introduction of what is now known as the Hopfield net, which proves that a neural network can learn and process information.",Hopfield,CalTech,PNAS,https://www.pnas.org/doi/10.1073/pnas.79.8.2554,
1983,funding,initiative,Strategic Computing Initiative,The Defense Advanced Research Projects Agency (DARPA) funds research into advanced computer hardware and artificial intelligence for 10 years. The estimated total budget expended is $1B.,,USA,DARPA,https://monoskop.org/images/d/d4/Roland_Alex_Shiman_Philip_Strategic_Computing_DARPA_and_the_Quest_for_Machine_Intelligence_1983-1993.pdf,
